id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
114099,80034,Aliens Versus Predator: Gold Edition,"The storylines of the three player characters are independent of one another. As an Alien the player must defend the Alien hive from human marines, then stow away on an evacuating spacecraft and reach the marines' ship, the Ferarco. When the Ferarco's self-destruct system is activated, the player must reach the escape shuttle, which takes them to Gateway Station. Here the player explores the station and battles more marines, reaching a ship departing for Earth. Before boarding the ship the player battles two Predators, after which the Alien enters the Earth-bound shuttle.

When playing as the Colonial Marine, the player begins at a research station on LV-426 built to study the derelict spacecraft where the Nostromo crew first encountered the Alien eggs in the film Alien (1979). Aliens attack and the player must fight their way through the research facility, the derelict ship, and an adjoining colony. Next the player explores the atmosphere processing station and shuts down its cooling valves in order to cause an explosion which will wipe out the Aliens. The player character escapes in a drop ship and travels to Odobenus Station in orbit above the planetoid, where they battle more Aliens, Predators, facehuggers, and cybernetically-enhanced Aliens until reaching the spaceship Tyrargo. Aboard the ship the player battles more enemies including an Alien/Predator hybrid and ""praetorian"" Aliens. The player then battles an Alien queen, defeating it by expelling it through the airlock.

The Predator character's storyline visits three different planets, beginning with the player hunting marines in order to recover a captured Predator ship and its occupant from a human military base. Aliens are accidentally released in the base and the player discovers that the humans have created an Alien/Predator hybrid by implanting the captured Predator with an Alien embryo. The player defeats the hybrid, triggers the facility's self-destruct mechanism, and escapes in the Predator ship. The player next visits Fiorina ""Fury"" 161, the prison planet that is the setting of Alien 3 (1992), where more Aliens and marines are battled. Finally the player visits a marine-controlled Alien habitat, battling cybernetically-enhanced Aliens, ""praetorian"" Aliens, and finally the Alien Queen.",2000-03-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
3080,93028,Alizarin Tetris,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
33192,43646,All Star Pro-Wrestling,NULL,2000-07-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
74418,595,Allegiance,NULL,2000-03-16 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
160017,69229,All-Star Baseball 2001,NULL,2000-03-01 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
179031,337,American McGee's Alice,NULL,2000-12-06 00:00:00.000,24,NULL,NULL,NULL,75.0995,85
66347,73065,America's Toughest 18,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
34930,94385,AmsterDoom,Aliens have conquered Amsterdam and the player has to drive them back.,2000-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
182344,72678,Angelique Trois,"Leviath has been defeated and the cosmos is restored to order. The Queen of the Sacred Beast Cosmos (the protagonist) returns to her realm to watch over its progress. She and her aide, Rachel, work with their established Royal Institute to keep their region harmonious.

Three years after the events of Angelique Tenku no Requiem, a large continent suddenly collides with the lone planet and the Queen disappears into a mysterious mist. Rachel implores the Sacred Bird Cosmos for their help, yet they too fall victim to the mist. As the friends reunite, they stand before a mysterious silver tree on the foreign continent known as Arcadia. The protagonist alone hears a voice pleading for her to ""release the seal"", soon discovering that the brittle continent is on the verge of collapse within its pocket dimension. The Queen of the Sacred Bird Cosmos uses her powers to create a barrier to stall the destruction to occur in 115 days. The protagonist has to cultivate the continent within that time to save its trapped inhabitants and release the mysterious seal.",2000-11-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
29787,76591,Angel's Present: A Marl Kingdom Story,NULL,2000-12-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
143229,214434,Animal Magnetism: Pochi no Daisuki,Pochi is left alone by her owner. How will she cope with her newfound desperation?,2000-03-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
164949,6712,Animastar,NULL,2000-06-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
60569,70497,Animorphs,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
35150,43927,Animorphs: Shattered Reality,NULL,2000-10-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
34201,11226,Anstoss 3,NULL,2000-06-01 00:00:00.000,2,NULL,NULL,NULL,99.5786,8
25793,104973,Anstoss Premier Manager,NULL,2000-03-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
82127,14259,Apano Sin,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
60124,43549,Aqua Aqua,NULL,2000-11-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
139173,3714,Aqua GT,NULL,2000-12-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
102381,62543,Aqua Paradise: Boku no Suizokukan,NULL,2000-12-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
45206,24134,Arcatera: The Dark Brotherhood,NULL,2000-12-31 00:00:00.000,NULL,NULL,50.0000,1,NULL,NULL
45550,13958,Arcturus: The Curse and Loss of Divinity,"Two thousand years ago, humans were protected by benevolent gods and lived peacefully alongside them. However, human green and pride put an end to the paradise-like existence. Humans wished to become like gods, and started fighting them, which led to a prolonged war that darkened their spirits and further corrupted them.

Prominent figures within the leadership of the Republic of Seven Lords are involved in dealings with a mysterious organization. Elluard von Heinberg, the heir of an aristocratic family, is determined to get to the bottom of the political intrigues. Meanwhile, in a quiet village in South Varensia, a boy named Sizz Flair decides to leave his drunken father behind and embark on an adventure with his childhood friend Maria. The two inadvertently draw the attention of the mighty church, and become involved in the grand schemes of the higher powers.",2000-12-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
44438,134570,Areena 5,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
172371,50020,Arle no Bouken: Mahou no Jewel,NULL,2000-03-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
65724,27456,Armies of Armageddon: WDK 2K,NULL,2000-10-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
6818,31719,Armored Core 2,"Sixty-seven years after the events of the Subterranean Era in prior games, Earth's second largest corporation, Zio Matrix, acquires plans for a research project on Mars, dating back before the Great Destruction. Using these plans, Zio sends a research team to Mars to begin the Terraforming Project, which causes the Martian surface and atmosphere to approximate that of Earth. Other corporations learn of the project and quickly follow Zio Matrix, bringing with them the competitive environment that existed on Earth, and the employ of the mercenaries of Nerves Concord.

As the three companies' war comes to a close, the most powerful, Zio Matrix, attempts a coup against the government, which has regained control through its elite mercenary team, The Frighteners, led by Leos Klein. But in the chaos that ensues, the Frighteners turn on the government, assassinate the new leader of the LCC, and take control of powerful Disorder technology. The player character is tasked with confronting them and saving the human populace of Mars.",2000-11-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
63245,118488,Army Men,NULL,2000-02-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
134584,43949,Army Men: Air Attack 2,NULL,2000-10-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
60773,72487,Army Men: Air Combat,NULL,2000-11-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
70130,47694,Army Men: Air Combat,NULL,2000-08-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
125255,73898,Army Men: Air Tactics,NULL,2000-03-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
107512,3441,Army Men: Sarge's Heroes 2,NULL,2000-11-21 00:00:00.000,2,NULL,NULL,NULL,72.9440,16
172130,201091,Army Men: Sarge's Heroes 2,NULL,2000-11-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
186964,44994,Army Men: World War,NULL,2000-02-29 00:00:00.000,NULL,NULL,NULL,NULL,73.4259,8
134007,201092,Army Men: World War,NULL,2000-02-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
124738,45097,Army Men: World War - Land Sea Air,"You saved the Green Nation from the Tan menace in Army Men: World War. Your commanders awarded you promotions and ribbons, and your face became known throughout the land. Overnight, you became a hero. 
 
But the Tan have risen again. Their war machine has produced cast numbers of men and craft, and the Green Army is calling for recruits to blunt the efforts of the enemy. Once again, you are asked to serve your country, to push back and enemy intent on ruining the Green nation. 
 
The Tan are now more determined than ever, seething from their earlier losses. The dangers you faced before were awful, but now you'll need to summon even more courage to beat back the angry Tan. Grabbing your rifle. you head back into familiar territory, the war front, waiting for the Tan storm that's approaching just over the horizon.",2000-10-20 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
177672,217857,Arthur Yahtzee: The Curse of Hell's Cheesecake,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
133625,56050,Arthur! Ready to Race,NULL,2000-12-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
6032,49917,Arthur's Absolutely Fun Day!,NULL,2000-10-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
130576,144668,Arthur's Camping Adventure,NULL,2000-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
130990,71368,Arthur's Knights: Tales of Chivalry,NULL,2000-10-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
159976,50019,Asterix: Search for Dogmatix,NULL,2000-07-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
161027,45232,Asterix: The Gallic War,NULL,2000-10-01 00:00:00.000,5,NULL,NULL,NULL,69.9871,14
88501,27122,Atelier Elie GB,NULL,2000-01-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
121322,27121,Atelier Marie GB,NULL,2000-01-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
79064,4142,ATV Quad Power Racing,NULL,2000-08-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9498,49890,"Austin Powers: Oh, Behave!",NULL,2000-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
5605,18385,Austin Powers: Welcome to My Underground Lair!,NULL,2000-09-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71811,210277,Autobahn Raser III,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
170458,19580,Avernum,"You have been cast down into the dark, volcanic pits of Avernum, filled with foul monsters, constant warfare, and thousands and thousands of your fellow prisoners. This is your punishment for not fitting in, for speaking out against the powers that be, for being an inconvenience to the government of the cruel Emperor Hawthorne. You have been sentenced to life imprisonment in the caverns, eventually to die there, forgotten and unmourned.

But you need not accept your fate. There are those who wish to struggle against this injustice, who wish to return to the surface world and to fight against tyranny. But first, they need a hero, they need inspiration, and, most of all, they need someone who can find an escape route. Can you help them?

Will you be the first person to escape from Avernum?",2000-03-18 00:00:00.000,3,NULL,NULL,NULL,NULL,NULL
56554,19581,Avernum 2,NULL,2000-12-18 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
194233,222825,AyuPac,NULL,2000-08-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
27567,65671,B B-Daman Bakugaiden V: Final Mega Tune,NULL,2000-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
154233,50908,Backyard Baseball 2001,NULL,2000-05-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
74044,69755,Bad Milk,NULL,2000-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
137888,37524,Bakusou Dekotora Densetsu,NULL,2000-01-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
107357,79721,Baldr Bullet,"Sometime in the near future, the South American rain forest serves as the backdrop of a war between two factions - those who support the Baldr governing technology and those who don't. To ensure that the skirmishes and conflicts don't expand, the BS-OSA or Baldr System - Observation Structure Army is set up to police the region. Inside the Army is a special unit known as SERR14 (Observation Structure Army South American Experimental Riot Regiment the 14th) which is comprised of elite soldiers and operatives such as Sergey Kirkland and Dullahan Cuningham.",2000-10-27 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
194239,6,Baldur's Gate II: Shadows of Amn,"Some time after the events described in Baldur's Gate, the protagonist and his friends Imoen, Minsc and Jaheira have been captured by an elven mage called Jon Irenicus. His intentions and connection to the heroes unknown, Irenicus conducts experiments on them, holding them in cages somewhere in his vast underground complex. During his absence, the heroes manage to escape, and soon find themselves in the city of Athkatla in the country of Amn, where they confront Irenicus. However, at that moment several wizards arrive and arrest both Irenicus and Imoen for unlicensed use of magic. The first task at hand is to raise the money needed to rescue Imoen, before facing Irenicus again and unraveling his true goals.

Baldur's Gate II: Shadows of Amn is a party-based role-playing game using the AD&D rules. The basic gameplay is similar to that of its predecessor: the player navigates a party of up to six active combatants over isometric environments, conversing with non-playable characters using branching dialogue, and fighting enemies in real-time, free-movement combat that can be paused to issue specific orders to the characters. World traveling now occurs by selecting locations on a map rather than exploring wilderness areas to reach the destination. However, the game world is larger than in the previous game, with more individual locations to visit and side quests to perform.

Being a direct sequel to Baldur's Gate, the game lets the player control stronger, higher-level characters from the onset. The main character can also be imported from the previous installment. Three new classes (sorcerer, monk, and barbarian) are available along with those that were present in the original game. Characters can also acquire specializations within most of the classes: a paladin, for instance, can become a dragon slayer or an inquisitor. Weapon proficiencies are more specific: for example, instead of just specializing in blades, the player can choose between proficiencies in long swords, two-handed swords, bastard swords, katanas and scimitars. There are many new types of weapons, armor, and magic spells in the sequel.

Sixteen characters may join the party during the course of the story. Each of them has his or her own motivations, sometimes conflicting with those of other characters. Scripted events and interaction with playable as well as non-playable characters have been noticeably increased in the sequel. The main character can also romance some of the companions by choosing appropriate behavior and dialogue lines. The game allows the player to make many moral decisions and pursue character-specific side quests unrelated to the main story. Many of the companions bring their own quests, and unique tasks are available for the main character depending on his or her class.",2000-09-21 00:00:00.000,155,NULL,90.0000,1,88.9708,391
172471,91241,Baldur's Gate II: Shadows Of Amn - Collectors' Edition,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
60219,45231,Ball Breakers,NULL,2000-08-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
141985,173416,Balloon De Fight'2000,NULL,2000-09-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
128127,173077,Balloon De Fight'99,NULL,2000-03-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
148329,50061,Balloon Fight GB,NULL,2000-07-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
38484,40235,Bang Bead,NULL,2000-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9590,1861,BANG! Gunship Elite,NULL,2000-07-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
195580,3418,Banjo-Tooie,NULL,2000-11-20 00:00:00.000,48,NULL,NULL,NULL,87.0376,118
174987,19403,Barbie Ocean Discovery,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
165200,19402,Barbie Pet Rescue,NULL,2000-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
62097,45168,Barbie: Fashion Pack Games,NULL,2000-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71381,45167,Barbie: Magic Genie Adventure,NULL,2000-12-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
104074,73368,Baroque Shooting,NULL,2000-06-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
53945,73872,Baroque Syndrome,NULL,2000-07-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
187722,219502,Basho's Frogger,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
62699,130845,Bass Avenger,NULL,2000-10-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
173093,43922,Bass Landing,NULL,2000-10-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
104549,44038,Bass Rush: ECOGEAR PowerWorm Championship,NULL,2000-05-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
132994,3444,Batman Beyond: Return of the Joker,NULL,2000-11-20 00:00:00.000,4,NULL,NULL,NULL,47.8938,15
18623,127974,Batta Batta: Kampen mod Ultra,NULL,2000-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
76456,50409,Battle Isle IV: The Andosia War,NULL,2000-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
192905,73251,Battle Isle: Platinum,NULL,2000-01-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
186895,9034,Battle Isle: The Andosia War,NULL,2000-11-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
45422,140542,Battle Painters,NULL,2000-11-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
129316,9735,Battleship: Surface Thunder,NULL,2000-10-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
11537,71125,BattleSphere,NULL,2000-02-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
77544,24122,Battlezone 2: Combat Commander,NULL,2000-01-31 00:00:00.000,2,2,90.0000,1,NULL,NULL
76382,3423,Battlezone: Rise of the Black Dogs,"During cold war Soviets and Americans were actually fighting on the moon, unbeknownst to the public. As a commander you climb into space-based hover tanks and command fleets of tanks in realtime. Explore 3 completely different game modes and fight as American, Soviet or Black Dog renegade to turn the tides to your favour!",2000-03-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
17718,43534,BCV: Battle Construction Vehicles,NULL,2000-07-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
137448,17451,Beach Head 2000,NULL,2000-06-15 00:00:00.000,3,NULL,NULL,NULL,59.8601,7
165939,62915,Bealphareth,NULL,2000-09-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
104473,92673,beatmania Club MIX,NULL,2000-03-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
103161,92674,beatmania complete MIX 2,NULL,2000-01-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
32878,97183,beatmania CORE REMIX,NULL,2000-11-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
69696,134407,beatmania DA!!,NULL,2000-02-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
102038,80674,beatmania featuring DREAMS COME TRUE,NULL,2000-05-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
78850,65667,Beatmania GB Gotcha Mix 2,NULL,2000-09-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21502,80100,beatmania IIDX 3rd style,NULL,2000-02-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
69746,72922,beatmania IIDX 4th style,NULL,2000-09-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15541,61017,beatmania III -The latest evolution machine-,NULL,2000-03-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
105711,61018,beatmania III: APPEND CORE REMIX,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
128847,205959,Beetle Buggin',NULL,2000-06-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
188309,60172,Being Andrew Plotkin,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
176861,37289,Beyond Pearl Harbor: Pacific Warriors,"In the days following the surprise attack on Pearl Harbor, the US Navy mobilized it's entire fleet to deliver a definitive response to Japan's treacherous and brutal bombing. They met the enemy in a new battleground - the expanses of the South Pacific. Join these heroes as a US fighter pilot and exact revenge for your slain comrades. Defeat Japanese Zeros in fast-paced dogfights, destroy gun embankments on the Mariana Islands, and down fully-loaded lumbering bombers bent on reaching US shores. Five white knuckled missions await - start as a P-40 fighter pilot and graduate to command the most advanced flying arsenal of the day. The balance of power in the Pacific rests in your hands. Will you control the skies Beyond Pearl Harbor?",2000-10-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
167964,43972,Big Bang Pro Wrestling,NULL,2000-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
66972,66035,Big Brother: The Game,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
110230,3367,Big Mountain 2000,NULL,2000-10-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
127126,142643,Bikeflyter,NULL,2000-08-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
85867,122564,Bikkuriman 2000: Viva! Festival!,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
59778,43971,Bikkuriman 2000: Viva! Pocket Festival!,NULL,2000-04-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
